source,raw_text,clean_text,tokens,token_len,lang
youtube,"cam on  nha, Thoi khong coi kich cua Tran Thanh  dong, that phan cam",cam on thôi không coi kich cua tran thanh_dong that phan_cam,"['cam', 'on', 'thôi', 'không', 'coi', 'kich', 'cua', 'tran', 'thanh_dong', 'that', 'phan_cam']",11,vi
youtube,"Vlog rì viu đồ ăn mà chỉ ngắm Hari Won thoi, 2 vợ chồng dễ thương quá chừng!!",vlog rì_viu đồ_ăn mà chỉ ngắm hari won thôi vợ_chồng dễ_thương quá_chừng,"['vlog', 'rì_viu', 'đồ_ăn', 'mà', 'chỉ', 'ngắm', 'hari', 'won', 'thôi', 'vợ_chồng', 'dễ_thương', 'quá_chừng']",12,vi
youtube,Anh sắm con poket 3 của Dji á quay vlog là êm nó tự cân sáng hết tất cả các môi trường và ko bị chớp dưới đèn led lỏ,anh sắm con poket của dji á quay vlog là êm nó tự cân sáng hết tất_cả các môi_trường và không bị chớp dưới đèn led lỏ,"['anh', 'sắm', 'con', 'poket', 'của', 'dji', 'á', 'quay', 'vlog', 'là', 'êm', 'nó', 'tự', 'cân', 'sáng', 'hết', 'tất_cả', 'các', 'môi_trường', 'và', 'không', 'bị', 'chớp', 'dưới', 'đèn', 'led', 'lỏ']",27,vi
youtube,"<a href=""https://www.youtube.com/watch?v=ZeXK3xLj-WU&amp;t=666"">11:06</a> “ Dạ xin cảm ơn chị “mà bà chị trả lời “ Thanks “ 😂😂 tua đi tua lại khúc đó coi vẫn thấy mắc cười, ngta người Hàn mà cha xìn chả nói tiếng việt 🤣 chắc a xìn quăng miếng thôi",dạ xin cảm_ơn chị mà bà chị trả_lời thanks_tua đi tua lại khúc đó coi vẫn thấy mắc cười người ta người hàn mà cha xìn_chả nói tiếng việt chắc anh xìn quăng miếng thôi,"['dạ', 'xin', 'cảm_ơn', 'chị', 'mà', 'bà', 'chị', 'trả_lời', 'thanks_tua', 'đi', 'tua', 'lại', 'khúc', 'đó', 'coi', 'vẫn', 'thấy', 'mắc', 'cười', 'người', 'ta', 'người', 'hàn', 'mà', 'cha', 'xìn_chả', 'nói', 'tiếng', 'việt', 'chắc', 'anh', 'xìn', 'quăng', 'miếng', 'thôi']",35,vi
youtube,Anh tran thanh gia dinh em rat thich xem,anh tran thanh_gia_dinh em rat thich xem,"['anh', 'tran', 'thanh_gia_dinh', 'em', 'rat', 'thich', 'xem']",7,vi
youtube,"<a href=""https://www.youtube.com/watch?v=ZeXK3xLj-WU&amp;t=2143"">35:43</a> choãiiii nước mínnnnn",choãii nước mínn,"['choãii', 'nước', 'mínn']",3,vi
youtube,"z đó mà nhìn miệng 2 vợ chồng anh chị là em chảy nước mínnnnnn <a href=""https://www.youtube.com/watch?v=ZeXK3xLj-WU&amp;t=1032"">17:12</a>",vậy đó mà nhìn miệng vợ_chồng anh_chị là em chảy nước mínn,"['vậy', 'đó', 'mà', 'nhìn', 'miệng', 'vợ_chồng', 'anh_chị', 'là', 'em', 'chảy', 'nước', 'mínn']",12,vi
youtube,thích xem ghê,thích xem ghê,"['thích', 'xem', 'ghê']",3,vi
youtube,coi review food street thôi mà cười quá cười :))),coi review food street thôi mà cười quá cười,"['coi', 'review', 'food', 'street', 'thôi', 'mà', 'cười', 'quá', 'cười']",9,vi
youtube,"<a href=""https://www.youtube.com/watch?v=ZeXK3xLj-WU&amp;t=1302"">21:42</a> bà hari😂",bà hari,"['bà', 'hari']",2,vi
